game_pk,game_date,home_score,away_score,winner,total_runs,updated_at
822708,2026-07-12,3,5,away,8,2026-07-13T20:03:13.885270
822709,2026-07-10,3,5,away,8,2026-07-11T18:10:51.513366
822710,2026-07-08,8,2,home,10,2026-07-09T16:04:10.242284
822711,2026-07-11,2,4,away,6,2026-07-12T16:07:11.305421
822712,2026-07-06,12,11,home,23,2026-07-07T17:16:17.701185
822713,2026-07-07,3,6,away,9,2026-07-08T15:40:50.724790
822789,2026-07-17,4,12,away,16,2026-07-18T18:11:54.266549
822875,2026-07-11,3,9,away,12,2026-07-12T16:07:10.587259
822876,2026-07-12,6,5,home,11,2026-07-13T20:03:13.454031
822877,2026-07-09,7,6,home,13,2026-07-10T20:07:38.111970
822878,2026-07-10,7,3,home,10,2026-07-11T18:10:51.177714
822879,2026-07-05,3,6,away,9,2026-07-06T00:29:10.170156
822880,2026-07-08,1,13,away,14,2026-07-09T16:04:10.018635
822881,2026-07-07,8,3,home,11,2026-07-08T15:40:50.277124
822951,2026-07-12,2,8,away,10,2026-07-13T20:03:13.730392
822953,2026-07-11,6,1,home,7,2026-07-12T16:07:11.049605
822954,2026-07-09,4,12,away,16,2026-07-10T20:07:38.057264
822955,2026-07-10,7,2,home,9,2026-07-11T18:10:51.370409
822956,2026-07-07,6,4,home,10,2026-07-08T15:40:50.827779
822957,2026-07-08,3,0,home,3,2026-07-09T01:29:06.774496
822958,2026-07-06,1,5,away,6,2026-07-07T17:16:17.734076
823029,2026-07-12,3,4,away,7,2026-07-13T20:03:13.467915
823030,2026-07-11,4,1,home,5,2026-07-12T16:07:10.368667
823032,2026-07-08,5,1,home,6,2026-07-09T16:04:10.066296
823033,2026-07-10,2,1,home,3,2026-07-11T18:10:51.117403
823034,2026-07-09,4,8,away,12,2026-07-10T20:07:38.142948
823035,2026-07-07,2,10,away,12,2026-07-08T15:40:51.248634
823036,2026-07-06,3,4,away,7,2026-07-07T17:16:17.635307
823115,2026-07-17,0,7,away,7,2026-07-18T18:11:53.937626
823117,2026-07-05,4,0,home,4,2026-07-06T00:29:09.814026
823198,2026-07-11,4,2,home,6,2026-07-12T16:07:11.409531
823199,2026-07-12,3,1,home,4,2026-07-13T20:03:13.408232
823200,2026-07-10,3,4,away,7,2026-07-11T18:10:51.051610
823202,2026-07-08,0,10,away,10,2026-07-09T01:29:07.300400
823203,2026-07-07,3,9,away,12,2026-07-08T15:40:50.021250
823205,2026-07-06,10,1,home,11,2026-07-07T17:16:17.558484
823274,2026-07-12,5,4,home,9,2026-07-13T20:03:13.302104
823276,2026-07-11,8,7,home,15,2026-07-12T16:07:10.268553
823277,2026-07-09,1,3,away,4,2026-07-10T20:07:38.075335
823278,2026-07-10,3,5,away,8,2026-07-11T18:10:51.098980
823279,2026-07-08,10,4,home,14,2026-07-09T16:04:09.926442
823280,2026-07-07,4,1,home,5,2026-07-08T15:40:50.173631
823282,2026-07-06,0,8,away,8,2026-07-07T17:16:17.594545
823356,2026-07-11,3,2,home,5,2026-07-12T16:07:11.605198
823359,2026-07-09,5,10,away,15,2026-07-10T20:07:38.396233
823360,2026-07-08,0,3,away,3,2026-07-09T01:29:07.013539
823361,2026-07-07,12,4,home,16,2026-07-08T15:40:50.927874
823440,2026-07-16,1,4,away,5,2026-07-17T18:40:16.193120
823524,2026-07-17,1,2,away,3,2026-07-18T18:11:54.352871
