id,game_pk,game_date,away_team,home_team,away_pitcher,home_pitcher,away_bullpen_era,home_bullpen_era,away_k_pct,home_k_pct,away_days_rest,home_days_rest,park_factor,park_name,temp_f,away_model_prob,home_model_prob,away_proj_runs,home_proj_runs,away_skellam_prob,home_skellam_prob,away_negbin_prob,home_negbin_prob,home_covers_rl_prob,away_covers_rl_prob,fair_total_runs,away_market_prob,home_market_prob,away_market_no_vig_prob,home_market_no_vig_prob,away_odds,home_odds,market_price_source,market_captured_at,market_favorite_team,market_favorite_side,market_favorite_prob,model_edge_vs_market_favorite,away_edge,home_edge,away_ev,home_ev,flag_review,high_confidence,decision,model_version,git_commit,created_at
1,824902,2026-07-05,New York Mets,Atlanta Braves,Nolan McLean,Martín Pérez,3.5,2.62,0.28463476070528965,0.19488817891373802,5,5,1.01,Truist Park,87.3,0.483546829343031,0.5164531706569689,2.97,3.4,0.42083670442608834,0.5791632955739117,,,0.33049277051881276,0.6695072294811872,6.38,,,,,,,,,,,,,,,,,False,,,0.5.0-reconectado,60cce8e,2026-07-05T16:57:05.159355
2,823525,2026-07-05,Minnesota Twins,New York Yankees,Joe Ryan,Ryan Weathers,4.76,3.22,0.2825,0.2670299727520436,5,6,1.05,Yankee Stadium,82.9,0.4870486342285488,0.5129513657714512,4.38,3.83,0.5876736620585656,0.41232633794143436,,,0.23316398885856393,0.7668360111414361,8.2,,,,,,,,,,,,,,,,,False,,,0.5.0-reconectado,60cce8e,2026-07-05T16:57:05.164789
3,824413,2026-07-05,Chicago White Sox,Cleveland Guardians,Chris Murphy,Tanner Bibee,3.49,3.17,0.21951219512195122,0.20194647201946472,2,5,0.97,Progressive Field,73.7,0.491444131084275,0.508555868915725,3.46,3.18,0.5516511060499916,0.4483488939500084,,,0.2393122484350132,0.7606877515649868,6.64,,,,,,,,,,,,,,,,,False,,,0.5.0-reconectado,60cce8e,2026-07-05T16:57:05.167355
4,824656,2026-07-05,St. Louis Cardinals,Chicago Cubs,Matthew Liberatore,Javier Assad,4.2,4.04,0.21525885558583105,0.1497584541062802,5,5,1.02,Wrigley Field,68.0,0.4793751404301512,0.5206248595698488,4.05,4.74,0.3952077863622332,0.6047922136377668,,,0.3887186962811242,0.6112813037188758,8.79,,,,,,,,,,,,,,,,,False,,,0.5.0-reconectado,60cce8e,2026-07-05T16:57:05.169892
5,824091,2026-07-05,Philadelphia Phillies,Kansas City Royals,Aaron Nola,Luinder Avila,4.12,4.54,0.23076923076923078,0.2087378640776699,6,7,0.98,Kauffman Stadium,89.2,0.5069248643856001,0.49307513561439986,3.97,4.43,0.42772703228501696,0.572272967714983,,,0.3560756925701236,0.6439243074298764,8.39,,,,,,,,,,,,,,,,,False,,,0.5.0-reconectado,60cce8e,2026-07-05T16:57:05.172609
6,822879,2026-07-05,Detroit Tigers,Texas Rangers,Casey Mize,Kumar Rocker,3.89,3.51,0.26877470355731226,0.20348837209302326,6,7,1.01,Globe Life Field,98.2,0.5178699327118651,0.48213006728813484,3.58,3.28,0.5525831299103448,0.4474168700896553,,,0.24166829372090215,0.7583317062790979,6.86,,,,,,,,,,,,,,,,,False,,,0.5.0-reconectado,60cce8e,2026-07-05T16:57:05.175093
7,824333,2026-07-05,San Francisco Giants,Colorado Rockies,Tyler Mahle,Tanner Gordon,3.8,5.39,0.2229965156794425,0.21428571428571427,6,5,1.18,Coors Field,95.3,0.4992131371078387,0.5007868628921612,5.2,6.16,0.37517475981481385,0.6248252401851861,,,0.43312147198354256,0.5668785280164574,11.36,,,,,,,,,,,,,,,,,False,,,0.5.0-reconectado,60cce8e,2026-07-05T16:57:05.178189
8,825061,2026-07-05,Milwaukee Brewers,Arizona Diamondbacks,Brandon Sproat,Eduardo Rodriguez,3.21,3.33,0.25316455696202533,0.17149758454106281,5,6,1.02,Chase Field,108.5,0.4797626828113809,0.5202373171886191,2.96,3.87,0.3443495583799405,0.6556504416200595,,,0.4037270972214718,0.5962729027785282,6.83,,,,,,,,,,,,,,,,,False,,,0.5.0-reconectado,60cce8e,2026-07-05T16:57:05.180847
9,824980,2026-07-05,Miami Marlins,Athletics,Eury Pérez,Gage Jump,3.74,4.94,0.2682119205298013,0.25,5,6,1.0,Sutter Health Park,83.1,0.48956660915532535,0.5104333908446747,3.52,4.42,0.356751388750549,0.643248611249451,,,0.4113083357477113,0.5886916642522887,7.94,,,,,,,,,,,,,,,,,False,,,0.5.0-reconectado,60cce8e,2026-07-05T16:57:05.183406
10,823117,2026-07-05,Toronto Blue Jays,Seattle Mariners,Trey Yesavage,Emerson Hancock,2.97,3.1,0.22262773722627738,0.24166666666666667,6,7,0.93,T-Mobile Park,70.3,0.4809506448553845,0.5190493551446155,2.77,2.97,0.4616727385758035,0.5383272614241965,,,0.28692435750194833,0.7130756424980517,5.74,,,,,,,,,,,,,,,,,False,,,0.5.0-reconectado,60cce8e,2026-07-05T16:57:05.186030
